tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1853122261512770006',"UPDATE ON A VIOLENT ROBBERY CAPTURED ON CCTV.

On Friday, November 1, 2024, around 4:40 PM, an individual armed with a hammer managed to enter Ushirika Tower in Eastleigh. After gaining entry, he proceeded to an apartment on the sixth floor with the assistance of a house-help named Everlyne, who is a Ugandan national.

Upon entering, the assailant, reportedly a Ugandan national, grievously assaulted a 20-year-old Somali house-help named Hakimo Muhidin with assistance from Evelyne. 

During the incident, various valuable items were pilfered, including pieces of gold jewellery, an unspecified amount of cash in both KES and U.S. dollars, as well as four laptops belonging to the family, which were reported stolen during the incident. 
Hakimo Muhidin sustained serious injuries, including a broken tooth and injuries to her hand, head, and legs. Additionally, she exhibited signs of having been whipped, with visible marks on her back. 

After receiving medical treatment, she has been discharged and is currently recovering at a relative's home in the Tassia estate area. 

Evelyne, who had joined the household three weeks prior to the incident, managed to escape alongside the assailant. 

At the time of the incident, the tenant, a Somali man, was not at home; he was out with his children, while his wife was reported to be in India for medical treatment. Authorities are continuing their investigations to gather more details regarding the incident and the whereabouts of the suspects.",en,Tweet,130,845,198,232,218293,2024-11-03 19:09:11,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/GbecBdAaMAAKxCx.jpg,https://pbs.twimg.com/media/GbecJZxawAEUaUj.jpg,https://pbs.twimg.com/media/GbecBgVbcAAHQ21.jpg,https://pbs.twimg.com/media/GbecBjUaUAAYwcu.jpg"
'1853101527746969717',"UPDATE ON ARREST OF KEY SUSPECT IN THE MURDER OF THREE FAMILY MEMBERS

Detectives have successfully apprehended Hashim Dagane Muhumed today after an extensive investigation into the tragic murders of a mother, her daughter, and her 12-year-old niece. The horrifying crime prompted a determined manhunt for the suspect.

Muhumed is currently in police custody, where he is undergoing processing ahead of his arraignment scheduled for tomorrow at the Makadara Chief Magistrates Court. 

The DCI remains committed to ensuring justice for the victims and their grieving families.",en,Tweet,98,766,200,272,232140,2024-11-03 17:46:47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/GbeKAyzagAA-gDO.jpg
'1853052961775124957',"UPDATES: DIGGING INTO THE PERSON THAT IS PRIME SUSPECT IN AYIEKO'S MURDER

Following the pursuit and subsequent gunning down of murder suspect initially identified as George Oduor Okoth, and from whom two firearms were recovered (one belonging to the late Willis Ayieko), detectives handling the homicide have established his true identity and roots, finally uncovering the man so wanted in numerous violent robberies in the region.

The discovery of ""Oduor's"" home which is at Rai area of Nyamasaria in Kisumu County followed identification of his body (preserved at JOOTRH mortuary) by his father, who further clarified that his son's real name was Robert Wakolo Okoth, and his alias names George Oduor Okoth and Kim (based on who asked) were only used to cover his criminal trail and escape police dragnets. Indeed, a national ID card retrieved from police exhibit store for wanted criminals earlier seized during a security operation, and a report obtained from the National Registration Bureau (NRB) confirmed the father's claim.

Armed with the discovery, the DCI Crime Research and Intelligence Bureau detectives who had been profiling an unidentified robbery suspect, linked the 34-year-old to a series of violent attacks, including the January 27, 2024 fatal shooting of Ms Grace Awino Odero, who was an Mpesa attendant at Kibuye market near Hekima School in Lolwe. In the incident, one suspect was arrested, and an AK 47 rifle earlier robbed from a Ugandan police officer recovered. Also recovered was a Toyota Axio Reg. No. KDL 301P used by the suspects in the robbery. Robert Wakolo, however, managed to get away.

In yet another incident on 3rd May, 2024, detectives working on intelligence leads had raided Robert's home in Nyamasaria, recovering another AK 47 rifle, a magazine and 36 live rounds of ammunition. Although Robert slipped away, again, his 17-year-old younger brother and suspected accomplice was arrested and charged.

Robert Wakolo was also wanted by Kondele police for robbery with violence and possessing a magazine and ammunitions.",en,Tweet,35,285,70,109,173103,2024-11-03 14:33:48,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/Gbdd2IIaEAAQcfJ.jpg
'1852943520950288420',"TWO ROBBERS FATALLY WOUNDED, MINI REVOLVER AMONG OTHER SPOILS RECOVERED.

Police officers drawn from Kilimani police station have this morning fatally wounded two robbers and recovered a Mini Revolver, a panga, mobile phones and a motorcycle Reg. No. KMGB 965W.

The officers who were on patrol duties along Tigoni road near Naivas Supermarket are reported to have bumped into the gang of three as they were right in the act leading to a shoot out that left two gang members permanently immobilized as one of their members escaped with gunshot wounds.

Following the incident, two members of the public who had earlier on lost their valuables to the hoodlums were able to positively identify them from the recoveries.

The scene has been processed by Crime scene detectives as search for the escapee continues.

Meanwhile, law enforcement agencies within Kilimani sub county have intensified patrols within their area of jurisdiction and therefore calls upon members of the public to continue collaborating with them for a safer and secure sub county.",en,Tweet,10,276,57,127,61267,2024-11-03 07:18:56,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/Gbb5pF9acAA3FyK.jpg,https://pbs.twimg.com/media/Gbb5pHEagAAzgDb.jpg,https://pbs.twimg.com/media/Gbb5pF8awAAZo9h.jpg"
'1852431989992718676',"PRESIDENTIAL TAXPAYERS DAY AWARDS, 2024

The Directorate of Criminal Investigations (DCI) is pleased to announce its esteemed recognition by the Kenya Revenue Authority (KRA) as the most facilitative government agency in tax enforcement and recovery during the 2024 Taxpayers' Day celebration. 

The event, held on Friday, November 1, 2024, at State House, Nairobi, gathered distinguished members from the tax community. 

During the celebration, outstanding taxpayers from various categories were acknowledged for their remarkable commitment to compliance and their significant contributions to the national tax system. 
This recognition reflects the DCI’s continued efforts to enhance tax enforcement and uphold integrity within the financial framework.

Mr. Mohamed I. Amin, the Director DCI, was honored to receive the recognition certificate on behalf of the Directorate.",en,Tweet,1,102,17,36,20781,2024-11-01 21:26:17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/GbUpExqX0AAxy_6.jpg,https://pbs.twimg.com/media/GbUpEuaXEAAZTuS.jpg,https://pbs.twimg.com/media/GbUpE2pWgAA4IIu.jpg,https://pbs.twimg.com/media/GbUpE07WEAAHXCQ.jpg"
'1852344756967194801',"CLOSURE OF THE REGIONAL CYBERCRIME TRAINING AT NCIA

A Regional Training on Cybercrime Investigation that brought together 29 detectives drawn from five countries; Kenya, Uganda, Tanzania, Rwanda and Seychelles has come to a close today at the National Criminal Investigations Academy in Nairobi.

The week-long training, which was sponsored by the German Federal Foreign Office through GIZ and Germany’s Central Criminal Investigation Agency (BKA), focused on building the detectives' capacity to address the surge in online Sexual & Gender-Based Violence.",en,Tweet,0,68,13,23,18014,2024-11-01 15:39:39,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/GbTZusSXEAA1hJI.jpg,https://pbs.twimg.com/media/GbTZvFmXEAAFVZE.jpg,https://pbs.twimg.com/media/GbTZu1lXEAANME3.jpg,https://pbs.twimg.com/media/GbTZvSZWkAA_ekH.jpg"
'1852345497215762440',"In his remarks to the course participants, the Director DCI Mr Mohamed I. Amin appreciated that the training was a monumental stride towards ensuring justice and dignity for online SGBV victims.

""They are vulnerable and you and I are their legal line of defense. We should not sit and watch as the community we swore to stand up for succumbs to sexual violence, victimization and depression,"" he said.",en,Reply,0,13,0,11,10599,2024-11-01 15:42:36,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/GbTaYr3XcAAc44N.jpg,https://pbs.twimg.com/media/GbTaZB9WwAAUn6g.jpg,https://pbs.twimg.com/media/GbTaZvNWMAE-b6T.jpg,https://pbs.twimg.com/media/GbTaaXYXwAA7oI2.jpg"
'1852345890335318104',"Meanwhile, the Director Investigations Bureau at DCI Mr Abdalla Komesha who represented his boss at the ceremony urged the officers to channel the acquired skills towards the fight against crimes in the cyber space, thus upholding justice for SGBV victims.

Also present in the ceremony were Commandant NCIA Mr. Sospeter Munyi, Police Liaison Officer for the region based in the Embassy of the Federal Republic of Germany Mr. Jan Prayon, GIZ Kenya Representative Mr. Jaenen Ulrich, Dir. Liaison & Corporate Communications at DCI Mr John Marete among others.",en,Reply,0,20,1,8,9547,2024-11-01 15:44:09,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/GbTaxQNXcAAki2E.jpg
'1852067954986197500',"HIGHWAY ROBBERS BUSTED IN VIHIGA

Four suspected highway robbers were earlier today arrested in Vihiga's Emuhaya sub-county, after a foiled theft attempt on a transit truck ferrying cement from Machakos to Busia via the Kisumu - Busia route.

In the 6am incident at Asikote section, the 55-year-old driver of the FAW truck belonging to Mombasa Cement Ltd spotted people hanging on the left side door, before the door flung open and they started throwing out sacks of cement. 

He hooted repeatedly to scare them off but the illegal offloading continued, with more of the thugs dragging the felled bags to the thickets. This made the driver to stop the truck, only for the men to advance towards him. 

Luckily, Embali Police Station officers who were on patrol got curious about the rapid honks, speeding to the location just in time to save the overpowered driver. 

The robbers scampered into the thickets with the police on their shadow, except one - Bernard Ochoyi Omari, 33 - who was cornered and arrested shouldering one of the stolen 50kg bags.

The officers sweeped the thickets and nearby houses, recovering 9 bags of the stolen cement. Of the bags, one was recovered at the house of a suspect namely Boaz Amunabi Joshua alias Spear, and in the course of the search, the officers also recovered a blood stained  machete, 21 mosquito nets, a sack of wheat among other suspected stolen items. 

Other suspects arrested in the operation included Francis Khulali, 70, Anthony Etale, 22 and Winnie Odongo Ombati, 28. They were all placed in custody awaiting processing for arraignment on Friday, November 1.",en,Tweet,8,145,34,64,41283,2024-10-31 21:19:44,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1852036276104376374',"NFL HOSTS EGERTON'S CRIMINOLOGY STUDENTS IN ACADEMIC TOUR

Today marked an enriching experience for second-year students from Egerton University's Department of Peace, Security, and Social Studies (specializing in Criminology and Security Studies), as they embarked on an insightful study tour at the National Forensic Laboratory located at DCI Headquarters in Nairobi. 

The visit provided them with a unique opportunity to bridge the gap between theoretical knowledge and practical application in the field of forensic science and criminal investigations.",en,Tweet,1,40,13,17,20282,2024-10-31 19:13:52,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/GbPBLKFWkAEUgFE.jpg,https://pbs.twimg.com/media/GbPBLKzWYAA5zxc.jpg,https://pbs.twimg.com/media/GbPBLNXWkAAC-Bc.jpg,https://pbs.twimg.com/media/GbPBLKcWkAA_VFM.jpg"
